Area,Year,Value,Area,Year,Value,Area,Year,Value,
Germany,2010,1709755,Ireland,2010,254794,Luxembourg,2010,7137,
Germany,2011,2245973,Ireland,2011,372922,Luxembourg,2011,8611,
Germany,2012,2750363,Ireland,2012,343886,Luxembourg,2012,9754,
Germany,2013,2513116,Ireland,2013,365145,Luxembourg,2013,8292,
Germany,2014,2331890,Ireland,2014,537874,Luxembourg,2014,7940,
Germany,2015,1870174,Ireland,2015,352333,Luxembourg,2015,6994,
Germany,2016,1495623,Ireland,2016,375665,Luxembourg,2016,4249,
Germany,2017,1667490,Ireland,2017,506004,Luxembourg,2017,4943,
Germany,2018,1873095,Ireland,2018,446585,Luxembourg,2018,6344,
Germany,2019,2035995,Ireland,2019,564352,Luxembourg,2019,5376,
Germany,2020,1848525,Ireland,2020,502396,Luxembourg,2020,5359,
