Area,Year,Hectares,Area,Year,Hectares,Area,Year,Hectares
Germany,2010,16700,Ireland,2010,4568,Luxembourg,2010,131.04
Germany,2011,16719,Ireland,2011,4555,Luxembourg,2011,131.27
Germany,2012,16664,Ireland,2012,4533,Luxembourg,2012,131.42
Germany,2013,16697,Ireland,2013,4477,Luxembourg,2013,130.88
Germany,2014,16725,Ireland,2014,4466,Luxembourg,2014,130.99
Germany,2015,16731,Ireland,2015,4430,Luxembourg,2015,131.27
Germany,2016,16659,Ireland,2016,4461,Luxembourg,2016,130.651
Germany,2017,16687,Ireland,2017,4489,Luxembourg,2017,131.158
Germany,2018,16645,Ireland,2018,4516,Luxembourg,2018,131.559
Germany,2019,16666,Ireland,2019,4524,Luxembourg,2019,131.592
Germany,2020,16595,Ireland,2020,4512,Luxembourg,2020,132.136
